id,time,duration,team,name
15719,2016-08-29 20:28:28,00:00:00,1,Game started
15719,2016-08-29 20:28:35,00:00:06,1,Hint 1 taken
15719,2016-08-29 20:28:44,00:00:15,1,Game exited prematurely
15719,2016-10-27 14:27:17,00:00:00,1,Game started
15719,2016-10-27 14:27:24,00:00:06,1,Hint 1 taken
15719,2016-10-27 14:27:25,00:00:07,1,Hint 2 taken
15719,2016-11-05 18:56:56,00:00:00,1,Game started
15719,2016-11-05 18:57:02,00:00:05,1,Hint 1 taken
15719,2016-11-05 18:57:12,00:00:15,1,Game exited prematurely
15719,2016-11-08 09:55:49,284:28:31,1,Game exited prematurely
15719,2016-11-08 11:03:51,00:00:00,1,Game started
15719,2016-11-08 11:03:54,00:00:03,1,Help level accessed
15719,2016-11-08 11:03:57,00:00:05,1,Returned from help level
15719,2016-11-08 11:04:00,00:00:08,1,Game exited prematurely
15719,2016-11-14 15:01:22,00:00:00,1,Game started
15719,2016-11-14 15:01:33,00:00:10,1,Game exited prematurely
15719,2016-11-14 15:01:36,00:00:00,1,Game started
15719,2016-11-14 15:01:39,00:00:02,1,Hint 1 taken
15719,2016-11-22 09:26:05,186:24:29,1,Game exited prematurely
15719,2016-11-22 09:31:40,00:00:00,1,Game started
15719,2016-11-22 09:31:50,00:00:09,1,Wrong flag submited:
15719,2016-11-22 09:32:37,00:00:56,1,Correct flag submited
15719,2016-11-24 19:09:26,57:36:49,2,Game exited prematurely
15719,2016-11-24 19:09:29,00:00:00,1,Game started
15719,2016-11-24 19:09:37,00:00:08,1,Level cowardly skipped
15719,2016-11-24 19:09:44,00:00:06,2,Level cowardly skipped
15719,2016-11-24 19:09:48,00:00:04,3,Level cowardly skipped
15719,2016-11-24 19:09:56,00:00:08,4,Level cowardly skipped
15719,2016-11-24 19:10:10,00:00:14,5,Game exited prematurely
15719,2016-11-24 19:10:14,00:00:00,1,Game started
15719,2016-11-24 19:10:19,00:00:04,1,Level cowardly skipped
15719,2016-11-24 19:11:18,00:00:59,2,Game exited prematurely
15719,2016-11-24 19:11:22,00:00:00,1,Game started
15719,2016-11-24 19:11:30,00:00:07,1,Hint 1 taken
15719,2016-11-24 19:11:31,00:00:08,1,Hint 2 taken
15719,2016-11-24 19:11:41,00:00:18,1,Level cowardly skipped
15719,2016-11-24 19:11:49,00:00:08,2,Level cowardly skipped
15719,2016-11-24 19:12:13,00:00:24,3,Game exited prematurely
15719,2016-11-24 19:12:16,00:00:00,1,Game started
15719,2016-11-24 19:12:19,00:00:03,1,Level cowardly skipped
15719,2016-11-24 19:13:20,00:01:00,2,Game exited prematurely
15719,2016-11-24 19:14:40,00:00:00,1,Game started
15719,2016-11-24 19:14:44,00:00:04,1,Level cowardly skipped
15719,2016-11-24 19:21:57,00:00:00,1,Game started
15719,2016-11-24 19:22:11,00:00:14,1,Correct flag submited
15719,2016-11-24 19:22:57,00:00:45,2,Game exited prematurely
15719,2016-11-24 19:33:25,00:00:00,1,Game started
15719,2016-11-24 19:33:25,00:00:00,1,Level cowardly skipped
